Date,Open,Close,NominalReturn
1963/02,65.06,65.92,0.016790687
1963/03,65.92,65.67,-0.003248969
1963/04,65.67,68.76,0.05062696
1963/05,68.76,70.14,0.023539953
1963/06,70.14,70.11,8.09E-06
1963/07,70.11,69.07,-0.014338968
1963/08,69.07,70.98,0.031408974
1963/09,70.98,72.85,0.029758749
1963/10,72.85,73.03,0.002852407
1963/11,73.03,72.62,-0.001949148
1963/12,72.62,74.17,0.022006943
1964/01,74.17,76.45,0.034680993
1964/02,76.45,77.39,0.016177623
1964/03,77.39,78.8,0.021814727
1964/04,78.8,79.94,0.018035059
1964/05,79.94,80.72,0.013307349
1964/06,80.72,80.24,-0.005621127
1964/07,80.24,83.22,0.037367587
1964/08,83.22,82,-0.008239601
1964/09,82,83.41,0.017475445
1964/10,83.41,84.85,0.020529943
1964/11,84.85,85.44,0.007229759
1964/12,85.44,83.96,-0.014078256
1965/01,83.96,86.12,0.029029906
1965/02,86.12,86.75,0.010572214
1965/03,86.75,86.83,0.001238498
1965/04,86.83,87.97,0.013699765
1965/05,87.97,89.28,0.018683466
1965/06,89.28,85.04,-0.04950007
1965/07,85.04,84.91,0.002375255
1965/08,84.91,86.49,0.022800954
1965/09,86.49,89.38,0.037307176
1965/10,89.38,91.39,0.023347223
1965/11,91.39,92.15,0.012103745
1965/12,92.15,91.73,-0.003647475
1966/01,91.73,93.32,0.021411278
1966/02,93.32,92.69,-0.008397493
1966/03,92.69,88.88,-0.039495012
1966/04,88.88,91.6,0.029185241
1966/05,91.6,86.78,-0.047702933
1966/06,86.78,86.06,-0.006562829
1966/07,86.06,85.84,-0.000531214
1966/08,85.84,80.65,-0.060583021
1966/09,80.65,77.81,-0.029372167
1966/10,77.81,77.13,-0.008594777
1966/11,77.13,80.99,0.05625454
1966/12,80.99,81.33,0.009988972
1967/01,81.33,84.45,0.044151052
1967/02,84.45,87.36,0.039624115
1967/03,87.36,89.42,0.025543726
1967/04,89.42,90.96,0.018884274
1967/05,90.96,92.59,0.019795629
1967/06,92.59,91.43,-0.01060564
1967/07,91.43,93.01,0.019155474
1967/08,93.01,94.49,0.017498359
1967/09,94.49,95.81,0.015784673
1967/10,95.81,95.66,8.00E-06
1967/11,95.66,92.66,-0.029439118
1967/12,92.66,95.3,0.030574014
1968/01,95.3,95.04,-0.003040416
1968/02,95.04,90.75,-0.04212592
1968/03,90.75,89.09,-0.015228119
1968/04,89.09,95.67,0.076715441
1968/05,95.67,97.87,0.025821737
1968/06,97.87,100.5,0.026922782
1968/07,100.5,100.3,-0.001565632
1968/08,100.3,98.11,-0.018473155
1968/09,98.11,101.3,0.035785417
1968/10,101.3,103.8,0.025235908
1968/11,103.8,105.4,0.018854587
1968/12,105.4,106.5,0.013861091
1969/01,106.5,102,-0.038946778
1969/02,102,101.5,-0.004133306
1969/03,101.5,99.3,-0.023009608
1969/04,99.3,101.3,0.021606081
1969/05,101.3,104.6,0.036776788
1969/06,104.6,99.14,-0.050445832
1969/07,99.14,94.71,-0.042826625
1969/08,94.71,94.18,-0.003578827
1969/09,94.18,94.51,0.008207435
1969/10,94.51,95.52,0.012636072
1969/11,95.52,96.21,0.009404982
1969/12,96.21,91.11,-0.050287129
1970/01,91.11,90.31,-0.003507737
1970/02,90.31,87.16,-0.032070554
1970/03,87.16,88.65,0.019507855
1970/04,88.65,85.95,-0.030136549
1970/05,85.95,76.06,-0.109385223
1970/06,76.06,75.59,-0.002959803
1970/07,75.59,75.72,0.004924584
1970/08,75.72,77.92,0.036958102
1970/09,77.92,82.58,0.06239083
1970/10,82.58,84.37,0.024250608
1970/11,84.37,84.28,0.001541296
1970/12,84.28,90.05,0.070709693
1971/01,90.05,93.49,0.045403266
1971/02,93.49,97.11,0.042965609
1971/03,97.11,99.6,0.029583411
1971/04,99.6,103,0.037549397
1971/05,103,101.6,-0.012391176
1971/06,101.6,99.72,-0.019446374
1971/07,99.72,99,-0.003516167
1971/08,99,97.24,-0.01382064
1971/09,97.24,99.4,0.028200509
1971/10,99.4,97.29,-0.01792328
1971/11,97.29,92.78,-0.041025575
1971/12,92.78,99.17,0.069097301
1972/01,99.17,103.3,0.046907428
1972/02,103.3,105.2,0.018803938
1972/03,105.2,107.7,0.026588298
1972/04,107.7,108.8,0.013012859
1972/05,108.8,107.7,-0.007494852
1972/06,107.7,108,0.004980721
1972/07,108,107.2,-0.00736083
1972/08,107.2,111,0.037786953
1972/09,111,109.4,-0.011831429
1972/10,109.4,109.6,0.002252791
1972/11,109.6,115.1,0.053083398
1972/12,115.1,117.5,0.023519918
1973/01,117.5,118.4,0.010519338
1973/02,118.4,114.2,-0.036834578
1973/03,114.2,112.4,-0.018815954
1973/04,112.4,110.3,-0.018966997
1973/05,110.3,107.2,-0.027848609
1973/06,107.2,104.8,-0.021673553
1973/07,104.8,105.8,0.014483347
1973/08,105.8,103.8,-0.027837573
1973/09,103.8,105.6,0.02364806
1973/10,105.6,109.8,0.039518142
1973/11,109.8,102,-0.06795742
1973/12,102,94.78,-0.067094114
1974/01,94.78,96.11,0.015798968
1974/02,96.11,93.45,-0.029117068
1974/03,93.45,97.44,0.04091093
1974/04,97.44,92.46,-0.044071163
1974/05,92.46,89.67,-0.030538799
1974/06,89.67,89.79,0.005018469
1974/07,89.79,79.31,-0.111497408
1974/08,79.31,76.03,-0.040532605
1974/09,76.03,68.12,-0.101324842
1974/10,68.12,69.44,0.023290952
1974/11,69.44,71.74,0.039019844
1974/12,71.74,67.07,-0.058410003
1975/01,67.07,72.56,0.091526815
1975/02,72.56,80.1,0.108567141
1975/03,80.1,83.78,0.053942447
1975/04,83.78,84.72,0.019179655
1975/05,84.72,90.1,0.068686473
1975/06,90.1,92.4,0.028785192
1975/07,92.4,92.49,0.000959527
1975/08,92.49,85.71,-0.064776505
1975/09,85.71,84.67,-0.007614136
1975/10,84.67,88.57,0.049961992
1975/11,88.57,90.07,0.018976925
1975/12,90.07,88.7,-0.009762362
1976/01,88.7,96.86,0.098918614
1976/02,96.86,100.6,0.04314324
1976/03,100.6,101.1,0.011148067
1976/04,101.1,101.9,0.012275916
1976/05,101.9,101.2,-0.005838512
1976/06,101.2,101.8,0.008539641
1976/07,101.8,104.2,0.025637069
1976/08,104.2,103.3,-0.006142127
1976/09,103.3,105.5,0.025313418
1976/10,105.5,101.9,-0.031606546
1976/11,101.9,101.2,-0.001349433
1976/12,101.2,104.7,0.038319598
1977/01,104.7,103.8,-0.00619024
1977/02,103.8,101,-0.028761207
1977/03,101,100.6,-0.002008063
1977/04,100.6,99.05,-0.014507579
1977/05,99.05,98.76,0.001153145
1977/06,98.76,99.29,0.007945392
